iter	Passed	Remaining
753	30636	9995
754	30675	9954
755	30716	9913
756	30755	9872
757	30795	9831
758	30832	9789
759	30870	9748
760	30916	9709
761	30958	9669
762	31000	9629
763	31039	9588
764	31078	9547
765	31115	9505
766	31160	9466
767	31200	9425
768	31235	9382
769	31274	9341
770	31312	9300
771	31353	9259
772	31393	9219
773	31432	9178
774	31473	9137
775	31511	9096
776	31548	9054
777	31589	9013
778	31628	8972
779	31665	8931
780	31706	8890
781	31743	8849
782	31784	8808
783	31823	8767
784	31860	8726
785	31903	8686
786	31942	8645
787	31982	8604
788	32022	8563
789	32064	8523
790	32103	8482
791	32152	8443
792	32194	8403
793	32238	8364
794	32278	8323
795	32319	8282
796	32359	8242
797	32401	8201
798	32439	8160
799	32481	8120
800	32520	8079
801	32562	8039
802	32605	7998
803	32644	7958
804	32685	7917
805	32729	7877
806	32770	7837
807	32811	7796
808	32853	7756
809	32895	7716
810	32938	7676
811	32977	7635
812	33017	7594
813	33057	7553
814	33096	7512
815	33145	7474
816	33187	7433
817	33225	7392
818	33262	7351
819	33302	7310
820	33339	7268
821	33380	7228
822	33419	7187
823	33461	7147
824	33501	7106
825	33545	7066
826	33585	7025
827	33623	6984
828	33665	6944
829	33704	6903
830	33745	6862
831	33783	6821
832	33823	6780
833	33859	6739
834	33903	6699
835	33945	6659
836	33985	6618
837	34026	6577
838	34070	6538
839	34108	6496
840	34155	6457
841	34191	6415
842	34229	6374
843	34268	6333
844	34312	6294
845	34349	6252
846	34386	6211
847	34423	6170
848	34462	6129
849	34500	6088
850	34542	6047
851	34582	6007
852	34631	5968
853	34672	5927
854	34710	5886
855	34749	5845
856	34791	5805
857	34831	5764
858	34868	5723
859	34912	5683
860	34953	5642
861	34996	5602
862	35034	5561
863	35072	5520
864	35111	5479
865	35159	5440
866	35197	5399
867	35232	5357
868	35271	5317
869	35313	5276
870	35353	5236
871	35394	5195
872	35433	5154
873	35474	5114
874	35516	5073
875	35561	5033
876	35599	4992
877	35637	4951
878	35676	4911
879	35714	4870
880	35751	4829
881	35792	4788
882	35830	4747
883	35871	4707
884	35921	4667
885	35962	4627
886	36003	4586
887	36045	4546
888	36086	4505
889	36136	4466
890	36178	4425
891	36215	4384
892	36251	4343
893	36294	4303
894	36336	4262
895	36377	4222
896	36417	4181
897	36455	4140
898	36499	4100
899	36540	4060
900	36578	4019
901	36614	3978
902	36655	3937
903	36694	3896
904	36731	3855
905	36771	3815
906	36810	3774
907	36851	3733
908	36898	3693
909	36939	3653
910	36981	3612
911	37022	3572
912	37059	3531
913	37098	3490
914	37145	3450
915	37187	3410
916	37227	3369
917	37264	3328
918	37306	3288
919	37347	3247
920	37393	3207
921	37435	3167
922	37473	3126
923	37511	3085
924	37550	3044
925	37587	3003
926	37623	2962
927	37668	2922
928	37708	2881
929	37750	2841
930	37789	2800
931	37831	2760
932	37874	2719
933	37916	2679
934	37957	2638
935	37996	2598
936	38034	2557
937	38076	2516
938	38126	2476
939	38170	2436
940	38210	2395
941	38248	2354
942	38291	2314
943	38331	2273
944	38371	2233
945	38413	2192
946	38450	2151
947	38490	2111
948	38530	2070
949	38568	2029
950	38606	1989
951	38647	1948
952	38689	1908
953	38735	1867
954	38775	1827
955	38817	1786
956	38856	1745
957	38903	1705
958	38945	1665
959	38982	1624
960	39022	1583
961	39062	1542
962	39099	1502
963	39146	1461
964	39186	1421
965	39225	1380
966	39265	1339
967	39307	1299
968	39345	1258
969	39386	1218
970	39424	1177
971	39463	1136
972	39506	1096
973	39547	1055
974	39586	1015
975	39623	974
976	39665	933
977	39707	893
978	39746	852
979	39786	811
980	39827	771
981	39869	730
982	39915	690
983	39957	649
984	39995	609
985	40035	568
986	40075	527
987	40126	487
988	40164	446
989	40204	406
990	40242	365
991	40280	324
992	40322	284
993	40362	243
994	40403	203
995	40443	162
996	40485	121
997	40530	81
998	40573	40
999	40612	0
